OSD.latitude,OSD.longitude,OSD.height [ft],OSD.pitch,OSD.yaw [360],GIMBAL.pitch
13.19378874,-59.64190109,21,-19.6,91.5,-42.5
13.19378872,-59.64189892,21,-18.4,91.6,-42.5
13.19378878,-59.64189624,21,-18.1,91.4,-42.5
13.19378865,-59.64189311,21,-18.5,91.5,-42.5
13.19378861,-59.64189039,21,-17.4,91.4,-42.5
13.19378855,-59.64188741,21,-17.1,91.4,-42.5
13.19378839,-59.6418844,21,-17.5,91.5,-42.5
13.19378828,-59.64188047,21,-18.8,91.7,-42.5
13.19378809,-59.64187736,21,-17.6,91.9,-42.5
13.19378791,-59.64187344,21,-14.8,91.7,-42.5
13.1937879,-59.64186983,21,-15.6,91.6,-42.5
13.1937878,-59.64186588,21,-17.2,91.7,-42.5
13.19378749,-59.64186203,21,-16.9,91.7,-42.5
13.19378736,-59.64185856,21,-17,91.6,-42.5
13.19378713,-59.64185371,21,-17.1,91.7,-42.5
13.19378698,-59.64184916,21,-17.6,91.7,-42.5
13.19378683,-59.64184495,21,-17.2,91.7,-42.5
13.19378665,-59.64184037,21,-16.2,91.7,-42.5
13.19378678,-59.64183537,21,-16,91.4,-42.5
13.1937867,-59.64183082,21,-16.8,91.6,-42.5
13.19378643,-59.64182664,21,-16.2,91.6,-42.5
13.19378625,-59.64182075,21,-14.9,91.4,-42.5
13.19378605,-59.6418169,21,-13.2,91.5,-42.5
13.19378588,-59.64181102,21,-10.3,91.4,-42.5
13.19378576,-59.6418064,21,-8.9,91.4,-42.5
13.19378561,-59.64180105,21,-8.4,91.4,-42.5
13.19378564,-59.64179624,21,-5.6,91.6,-42.5
13.19378553,-59.64179036,21,-4.4,91.4,-42.5
13.19378548,-59.64178585,21,-5.2,91.3,-42.5
13.19378542,-59.64178143,21,-5.9,91.4,-42.5
13.19378513,-59.64177553,21,-5.2,91.5,-42.5
13.19378504,-59.6417712,21,-2,91.3,-42.5
13.19378491,-59.64176636,21,1,91.4,-42.5
13.19378483,-59.64176162,21,2.4,91.4,-42.5
13.19378474,-59.64175776,21,10.3,90.7,-42.5
13.19378469,-59.64175348,21,28.3,90.6,-42.5
13.19378466,-59.64175043,21,32.2,89.3,-42.5
13.19378467,-59.6417473,21,33.2,87.8,-42.5
13.19378437,-59.64174498,21,30.9,86.6,-42.5
13.19378431,-59.64174345,21,22,86.4,-42.5
13.19378471,-59.64174347,21,11.8,85.1,-42.5
13.19378473,-59.64174277,21,6.7,83.6,-42.5
13.19378494,-59.64174231,21,6.4,82.4,-42.5
13.193785,-59.64174205,21,5.9,81,-42.5
13.19378514,-59.6417415,21,4.5,79.7,-42.5
13.19378527,-59.64174138,21,3.5,78.1,-42.5
13.19378515,-59.64174097,21,2.3,76.3,-42.5
13.19378519,-59.64174093,21,1.5,74.3,-42.5
13.19378525,-59.64174087,21,0.7,72.2,-42.5
13.19378528,-59.64174095,21,0.1,70,-42.5
13.1937851,-59.64174072,21,-0.2,67.8,-42.5
13.19378506,-59.64174079,21,-1.5,65.6,-42.5
13.19378507,-59.64174093,21,-2.7,63,-42.5
13.19378502,-59.64174103,21,-3.3,59.8,-42.5
13.1937851,-59.64174115,21,-3.9,56.4,-42.5
13.19378509,-59.64174124,21,-3.4,52.8,-42.5
13.19378499,-59.64174122,21,-2.8,49.1,-42.5
13.19378496,-59.64174131,21,-3.5,45.1,-42.5
13.19378511,-59.6417411,21,-4.1,41.3,-42.5
13.19378512,-59.6417411,21,-2.7,37.8,-42.5
13.19378511,-59.64174121,21,-2.7,33.7,-42.5
